benchmark,histogram,query,operator_count,operator_type,real_input,real_output,estimated_input,estimated_output,sampling_rate
TPC-DS,MaxDiffAreaHistogram,37,3,TableScan,65535,61,65535.000000,0.000000,100
TPC-DS,MaxDiffAreaHistogram,39a,0,JoinHashRight,10,2040000,10.000000,239820.812500,100
TPC-DS,MaxDiffAreaHistogram,39a,1,JoinHashRight,10,2040000,10.000000,218507.046875,100
TPC-DS,MaxDiffAreaHistogram,39a,2,JoinHashRight,102000,2040000,102000.000000,239820.828125,100
TPC-DS,MaxDiffAreaHistogram,39a,3,JoinHashRight,102000,2040000,102000.000000,218507.078125,100
TPC-DS,MaxDiffAreaHistogram,39a,4,JoinHashLeft,133110000,2040000,133110000.000000,239837.390625,100
TPC-DS,MaxDiffAreaHistogram,39a,5,JoinHashLeft,133110000,2040000,133110000.000000,218522.000000,100
TPC-DS,MaxDiffAreaHistogram,39a,6,TableScan,65535,365,65535.000000,329.850647,100
TPC-DS,MaxDiffAreaHistogram,39b,0,JoinHashRight,10,2040000,10.000000,218507.046875,100
TPC-DS,MaxDiffAreaHistogram,39b,1,JoinHashRight,10,2040000,10.000000,239820.812500,100
TPC-DS,MaxDiffAreaHistogram,39b,2,JoinHashRight,102000,2040000,102000.000000,218507.078125,100
TPC-DS,MaxDiffAreaHistogram,39b,3,JoinHashRight,102000,2040000,102000.000000,239820.828125,100
TPC-DS,MaxDiffAreaHistogram,39b,4,JoinHashLeft,133110000,2040000,133110000.000000,218522.000000,100
TPC-DS,MaxDiffAreaHistogram,39b,5,JoinHashLeft,133110000,2040000,133110000.000000,239837.390625,100
TPC-DS,MaxDiffAreaHistogram,39b,6,TableScan,65535,365,65535.000000,329.850647,100
TPC-DS,MaxDiffAreaHistogram,41,0,TableScan,102000,1328,102000.000000,2629.147217,100
TPC-DS,MaxDiffAreaHistogram,42,0,TableScan,102000,1847,102000.000000,1847.000000,100
TPC-DS,MaxDiffAreaHistogram,42,1,TableScan,65535,366,65535.000000,329.850647,100
TPC-DS,MaxDiffAreaHistogram,42,2,JoinHashLeft,28800991,881977,28800992.000000,10219.425781,100
TPC-DS,MaxDiffAreaHistogram,43,0,TableScan,102,30,102.000000,102.000000,100
TPC-DS,MaxDiffAreaHistogram,43,1,JoinHashLeft,28800991,5519143,28800992.000000,124417.882812,100
TPC-DS,MaxDiffAreaHistogram,43,2,TableScan,65535,366,65535.000000,329.850647,100
TPC-DS,MaxDiffAreaHistogram,45,0,JoinHashRight,250000,17238,250000.000000,8107.933594,100
TPC-DS,MaxDiffAreaHistogram,45,1,JoinHashLeft,102000,50202,102000.000000,8109.922363,100
TPC-DS,MaxDiffAreaHistogram,45,2,TableScan,102000,10,102000.000000,10.000000,100
TPC-DS,MaxDiffAreaHistogram,45,3,JoinHashLeft,7197566,211088,7197566.000000,8109.917480,100
TPC-DS,MaxDiffAreaHistogram,45,4,JoinHashLeft,500000,17238,500000.000000,8107.953613,100
TPC-DS,MaxDiffAreaHistogram,45,5,TableScan,65535,365,65535.000000,329.850647,100
TPC-DS,MaxDiffAreaHistogram,48,0,JoinHashLeft,1920800,120388,1920800.000000,173.816849,100
TPC-DS,MaxDiffAreaHistogram,48,1,TableScan,250000,242351,250000.000000,242351.000000,100
TPC-DS,MaxDiffAreaHistogram,48,2,JoinHashRight,102,5389310,102.000000,118818.664062,100
TPC-DS,MaxDiffAreaHistogram,48,3,JoinHashLeft,28800991,5519143,28800992.000000,124417.882812,100
TPC-DS,MaxDiffAreaHistogram,48,4,TableScan,65535,366,65535.000000,329.850647,100
TPC-DS,MaxDiffAreaHistogram,50,0,JoinHashRight,102,20932,102.000000,11083.340820,100
TPC-DS,MaxDiffAreaHistogram,50,1,JoinHashLeft,73049,206,73049.000000,1822.966797,100
TPC-DS,MaxDiffAreaHistogram,50,2,JoinHashLeft,28800991,334371,28800992.000000,12763.351562,100
TPC-DS,MaxDiffAreaHistogram,50,3,JoinHashLeft,2875432,29250,2875432.000000,1063.575928,100
TPC-DS,MaxDiffAreaHistogram,50,4,TableScan,65535,365,65535.000000,329.850647,100
TPC-DS,MaxDiffAreaHistogram,52,0,TableScan,102000,1847,102000.000000,1847.000000,100
TPC-DS,MaxDiffAreaHistogram,52,1,TableScan,65535,366,65535.000000,329.850647,100
TPC-DS,MaxDiffAreaHistogram,52,2,JoinHashLeft,28800991,881977,28800992.000000,10219.425781,100
TPC-DS,MaxDiffAreaHistogram,55,0,TableScan,102000,1800,102000.000000,1800.000122,100
